FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID
2017-08-01,DL,110,10397,30397,12892,32575
2017-08-01,DL,370,10397,30397,12892,32575
2017-08-01,DL,1125,10397,30397,12892,32575
2017-08-01,DL,1133,10397,30397,12892,32575
2017-08-01,DL,1172,10397,30397,12892,32575
2017-08-01,DL,1218,10397,30397,12892,32575
2017-08-01,DL,1255,10397,30397,12892,32575
2017-08-01,DL,1427,10397,30397,12892,32575
2017-08-01,DL,1682,10397,30397,12892,32575
2017-08-01,DL,1720,10397,30397,12892,32575
2017-08-01,DL,1755,10397,30397,12892,32575
2017-08-01,DL,2255,10397,30397,12892,32575
2017-08-01,NK,404,10397,30397,12892,32575
2017-08-01,AA,2437,10397,30397,12892,32575
2017-08-01,AA,2515,10397,30397,12892,32575
2017-08-01,WN,244,10397,30397,12892,32575
2017-08-01,WN,2034,10397,30397,12892,32575
2017-08-01,WN,3547,10397,30397,12892,32575
2017-08-01,AA,1249,10397,30397,12892,32575
2017-08-02,F9,1479,10397,30397,12892,32575
2017-08-02,AA,2437,10397,30397,12892,32575
2017-08-02,AA,2515,10397,30397,12892,32575
2017-08-02,WN,244,10397,30397,12892,32575
2017-08-02,WN,2034,10397,30397,12892,32575
2017-08-02,WN,3547,10397,30397,12892,32575
2017-08-02,AA,1249,10397,30397,12892,32575
2017-08-02,DL,110,10397,30397,12892,32575
2017-08-02,DL,370,10397,30397,12892,32575
2017-08-02,DL,1125,10397,30397,12892,32575
2017-08-02,DL,1133,10397,30397,12892,32575
2017-08-02,DL,1172,10397,30397,12892,32575
2017-08-02,DL,1218,10397,30397,12892,32575
2017-08-02,DL,1255,10397,30397,12892,32575
2017-08-02,DL,1427,10397,30397,12892,32575
2017-08-02,DL,1682,10397,30397,12892,32575
2017-08-02,DL,1720,10397,30397,12892,32575
2017-08-02,DL,1755,10397,30397,12892,32575
2017-08-02,DL,2255,10397,30397,12892,32575
2017-08-02,NK,404,10397,30397,12892,32575
2017-08-03,DL,110,10397,30397,12892,32575
2017-08-03,DL,370,10397,30397,12892,32575
2017-08-03,DL,1125,10397,30397,12892,32575
2017-08-03,DL,1128,10397,30397,12892,32575
2017-08-03,DL,1133,10397,30397,12892,32575
2017-08-03,DL,1172,10397,30397,12892,32575
2017-08-03,DL,1218,10397,30397,12892,32575
2017-08-03,DL,1255,10397,30397,12892,32575
2017-08-03,DL,1427,10397,30397,12892,32575
2017-08-03,DL,1682,10397,30397,12892,32575
2017-08-03,DL,1720,10397,30397,12892,32575
2017-08-03,DL,1755,10397,30397,12892,32575
2017-08-03,DL,2255,10397,30397,12892,32575
2017-08-03,NK,404,10397,30397,12892,32575
2017-08-03,AA,2437,10397,30397,12892,32575
2017-08-03,AA,2515,10397,30397,12892,32575
2017-08-03,WN,244,10397,30397,12892,32575
2017-08-03,WN,2034,10397,30397,12892,32575
2017-08-03,WN,3547,10397,30397,12892,32575
2017-08-03,AA,1249,10397,30397,12892,32575
2017-08-04,DL,110,10397,30397,12892,32575
2017-08-04,DL,370,10397,30397,12892,32575
2017-08-04,DL,1125,10397,30397,12892,32575
2017-08-04,DL,1128,10397,30397,12892,32575
